"Country","sub-national","Eco_region","Year","Management_level","Sector","Location","Site","site_corrected","Station","Station_corrected","family","density.ind.ha.","sd_density","biomass.kg.ha.","sd_biomass","Organization"
"Comoros","Ndzuani","Ndzuani","2020","Partially Restricted","Anjouan Island","Pomoni","Mabamboni","Mabamboni","Mabamboni","Mabamboni","Scarinae",177.78,252.4,7.97,13.65,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2020","Partially Restricted","Anjouan Island","Pomoni","Madjibaridi","Madjibaridi","Madjibaridi","Madjibaridi","Epinephelidae",44.44,50.92,0.07,0.08,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2020","Partially Restricted","Anjouan Island","Pomoni","Mnadzijou","Mnadzijou","Mnadzijou","Mnadzijou","Scarinae",533.33,240.37,8.94,12.83,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2020","Partially Restricted","Anjouan Island","Pomoni","Mrojou","Mrojou","Mrojou","Mrojou","Epinephelidae",22.22,38.49,0.55,0.94,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2021","Partially Restricted","Anjouan Island","Pomoni","Dzindri Yantsini","Dzindri Yantsini","Dzindri Yantsini","Dzindri Yantsini","Epinephelidae",55.56,69.39,3.69,4.98,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2021","Partially Restricted","Anjouan Island","Pomoni","Dzindri Yantsini","Dzindri Yantsini","Dzindri Yantsini","Dzindri Yantsini","Scarinae",33.33,0,2.34,0,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2021","Partially Restricted","Anjouan Island","Pomoni","Hamare_01","Hamare_01","Hamare_01","Hamare_01","Epinephelidae",77.78,19.25,1.19,0.94,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2021","Partially Restricted","Anjouan Island","Pomoni","Hamare_01","Hamare_01","Hamare_01","Hamare_01","Scarinae",111.11,38.49,1.8,1.25,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2021","Partially Restricted","Anjouan Island","Pomoni","Hamare_02","Hamare_02","Hamare_02","Hamare_02","Epinephelidae",122.22,69.39,2.79,2.45,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2021","Partially Restricted","Anjouan Island","Pomoni","Mabamboni","Mabamboni","Mabamboni","Mabamboni","Epinephelidae",66.67,66.67,7.59,7.54,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2021","Partially Restricted","Anjouan Island","Pomoni","Mabamboni","Mabamboni","Mabamboni","Mabamboni","Scarinae",88.89,101.84,10.73,18.43,"DAHARI"
"Comoros","Ndzuani","Ndzuani","2021","Partially Restricted","Anjouan Island","Pomoni","Madjibaridi","Madjibaridi","Madjibaridi","Madjibaridi","Epinephelidae",66.67,115.47,2.74,4.75,"DAHARI"
