"Country","Year","Sector","Location","Site","Reef_type","Management_level","Management_type","Depth..m.","Latitude","Longitude","number_replicates","Method","Observer","level1_code","mean_cover","sd","se","Organization","Source"
"Comoros","2016","Moheli island","Moheli National Park","Nioumachoua","","Partially Restricted","National Park",NA,"-12.37","43.711","24","","","Soft coral","0","0","0","CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Nioumachoua","","Partially Restricted","National Park",NA,"-12.37","43.711","24","","","Dead standing coral","9.22","6.87","4.85","CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Nioumachoua","","Partially Restricted","National Park",NA,"-12.37","43.711","24","","","TWS","0","0","0","CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Nioumachoua","","Partially Restricted","National Park",NA,"-12.37","43.711","24","","","Turf algae","23.26","14.98","10.59","CORDIO","RLE 2019"
"Comoros","2016","Moheli island","Moheli National Park","Sambia_E","","Partially Restricted","National Park",NA,"-12.395","43.805","15","","","Bare substrate","14.21",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Sambia_E","","Partially Restricted","National Park",NA,"-12.395","43.805","15","","","Hard coral","10.5",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Sambia_E","","Partially Restricted","National Park",NA,"-12.395","43.805","15","","","Coralline algae","0",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Sambia_E","","Partially Restricted","National Park",NA,"-12.395","43.805","15","","","Other inverts","0",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Sambia_E","","Partially Restricted","National Park",NA,"-12.395","43.805","15","","","Sand","2.18",NA,NA,"CORDIO","Post_RLE"
"Comoros","2016","Moheli island","Moheli National Park","Sambia_E","","Partially Restricted","National Park",NA,"-12.395","43.805","15","","","Macro-algae","11.53",NA,NA,"CORDIO","Post_RLE"
